,customer_id,Gender,products_ordered,average_return_rate,total_spending
0,1000661,MALE,1,0,260
1,1001914,FEMALE,1,0,79.2
2,1002167,MALE,3,0,234.2
3,1002387,FEMALE,1,0,89
4,1002419,FEMALE,2,0,103
5,1003002,FEMALE,2,0,248
6,1003161,FEMALE,1,0,44
7,1003728,FEMALE,2,0,194.2
8,1003899,MALE,4,0,938.8
9,1004677,FEMALE,1,0,66
10,1005158,MALE,1,0,95
11,1005409,FEMALE,1,0,66
12,1006056,FEMALE,1,0,95
13,1006436,FEMALE,2,0,295
14,1006697,MALE,1,0,153
15,1006832,FEMALE,3,0,337
16,1007166,FEMALE,3,0,426.6
17,1007931,FEMALE,1,0,165
18,1007933,MALE,1,0,95
19,1007953,MALE,1,0,70
20,1008012,FEMALE,4,0,541
21,1008778,FEMALE,1,0,71.2
22,1009433,FEMALE,3,0,822
23,1009504,MALE,1,0,95
24,1010184,FEMALE,2,0,161
25,1010357,FEMALE,1,0,64
26,1010707,FEMALE,1,0,119
27,1011114,FEMALE,1,0,89
28,1011417,FEMALE,1,0,62.1
29,1011996,FEMALE,3,0,654.6
30,1012203,MALE,1,0,89
31,1012412,MALE,2,0,194
32,1012504,MALE,3,0,446
33,1012896,MALE,1,0,59.4
34,1013321,MALE,1,0,89
35,1013496,MALE,3,0,263.4
36,1013588,FEMALE,1,0,71.2
37,1013613,MALE,4,0,332
38,1013805,MALE,1,0,171
39,1013958,FEMALE,1,0,119
40,1014195,FEMALE,1,0,64
41,1016212,FEMALE,7,0,1014
42,1016951,FEMALE,1,0,89
43,1017090,MALE,2,0,186.3
44,1017111,FEMALE,1,0,198
45,1017592,MALE,1,0,64
46,1017832,MALE,1,0,69
47,1018425,FEMALE,1,0,99
48,1018486,FEMALE,2,0,163
49,1019378,MALE,4,0,325
50,1019777,MALE,2,0,122
51,1020022,MALE,1,0,64
52,1020657,FEMALE,2,0,332.65
53,1020848,FEMALE,1,0,99
54,1021299,FEMALE,4,0,396
55,1021714,FEMALE,1,0,178
56,1022206,FEMALE,1,0,80.1
57,1022382,MALE,3,0,336
58,1022437,FEMALE,1,0,44
59,1022489,MALE,2,0,249
60,1023318,FEMALE,1,0,152
61,1023382,MALE,5,0,563.1
62,1023486,MALE,3,0,342.5
63,1024074,MALE,1,0,66
64,1024951,FEMALE,2,0,327
65,1025137,FEMALE,1,0,129
66,1025698,MALE,5,0,498
67,1025724,MALE,2,0,355
68,1025868,MALE,2,0,444
69,1026185,MALE,1,0,178
70,1026451,FEMALE,2,0,285.5
71,1026770,FEMALE,3,0,277
72,1028169,FEMALE,1,0,129
73,1029036,FEMALE,1,0,79.2
74,1029062,FEMALE,3,0,226.4
75,1029141,FEMALE,4,0,250.2
76,1029657,MALE,2,0,134
77,1029746,FEMALE,4,0,682.5
78,1030179,FEMALE,1,0,465
79,1030400,MALE,1,0,66
80,1030675,MALE,4,0,361.8
81,1031472,MALE,1,0,64
82,1031483,FEMALE,1,0,76
83,1031879,MALE,1,0,80.1
84,1032158,FEMALE,1,0,285
85,1032956,MALE,1,0,165
86,1033398,MALE,1,0,103.2
87,1033505,MALE,1,0,76
88,1034036,FEMALE,1,0,94
89,1034119,MALE,1,0,267
90,1034648,MALE,1,0,80.1
91,1035291,MALE,2,0,230
92,1035322,FEMALE,1,0,89
93,1035377,MALE,2,0,184
94,1036322,MALE,2,0,251.1
95,1036663,MALE,2,0,169
96,1036994,MALE,1,0,62.1
97,1037245,FEMALE,2,0,155.2
98,1037442,FEMALE,2,0,178
99,1037468,FEMALE,2,0,188
100,1037756,FEMALE,1,0,79.2
101,1038293,FEMALE,3,0,211
102,1038321,MALE,1,0,129
103,1038692,MALE,3,0,560.2
104,1040317,FEMALE,1,0,95
105,1041034,FEMALE,2,0,224
106,1041327,FEMALE,6,0,1302.75
107,1041502,FEMALE,3,0,182.2
108,1041517,MALE,1,0,64
109,1041519,MALE,2,0,188
110,1042292,FEMALE,1,0,74
111,1042516,FEMALE,2,0,370.4
112,1042690,MALE,2,0,184
113,1043515,MALE,2,0,300
114,1043630,FEMALE,2,0,182.2
115,1043825,FEMALE,1,0,89
116,1044344,FEMALE,1,0,95
117,1044521,MALE,3,0,313
118,1044616,MALE,1,0,55.8
119,1044860,MALE,2,0,287
120,1045367,FEMALE,4,0,408
121,1046056,FEMALE,1,0,74
122,1046214,FEMALE,2,0,188
123,1046356,FEMALE,1,0,95
124,1046478,FEMALE,1,0,62
125,1046687,MALE,1,0,44
126,1046842,MALE,3,0,274.2
127,1046899,MALE,2,0,130
128,1046960,MALE,2,0,179.2
129,1047637,FEMALE,2,0,178
130,1048044,FEMALE,2,0,335.4
131,1048066,FEMALE,2,0,208
132,1048117,MALE,1,0,64
133,1048855,MALE,1,0,168
134,1049211,MALE,7,0,526.6
135,1049611,FEMALE,3,0,353.4
136,1050424,MALE,1,0,44
137,1051025,FEMALE,1,0,74
138,1051120,FEMALE,1,0,66
139,1051484,MALE,1,0,69
140,1051514,MALE,1,0,124
141,1052196,FEMALE,2,0,205
142,1053893,FEMALE,1,0,190
143,1053945,FEMALE,2,0,126
144,1054312,MALE,1,0,74
145,1054723,FEMALE,1,0,70
146,1055949,MALE,1,0,119
147,1056000,MALE,1,0,148.2
148,1056261,FEMALE,1,0,85.5
149,1056305,FEMALE,1,0,96
150,1057385,FEMALE,1,0,180.5
151,1057413,MALE,1,0,99
152,1057980,MALE,1,0,95
153,1058200,MALE,2,0,307.2
